,p-values-independent,p-values_i_fdr,significance:p_vlaue_i,significance:p_vlaue_i_fdr
489,0.004679655811679686,0.007572223131019724,True,True
491,0.00047024122951131895,0.0008857722429187695,True,True
492,0.002076580419991125,0.0035567050124277895,True,True
493,0.012761976055479018,0.019301622864507095,True,True
494,2.0240260085320244e-09,7.94299166228776e-09,True,True
495,5.6432567795706024e-15,4.467793806924022e-14,True,True
496,0.0005229251169498162,0.000979032339363615,True,True
497,3.965823037120188e-06,1.009572545921769e-05,True,True
498,8.189436486524091e-05,0.0001722918373261119,True,True
499,1.4518722492235895e-18,1.864765286642194e-17,True,True
500,4.150030425758214e-08,1.37340566293052e-07,True,True
501,3.996852866579715e-11,1.928110395704121e-10,True,True
502,0.003877509094711976,0.00636548223996478,True,True
503,0.0001906531850068194,0.000380975566338092,True,True
505,1.8303531936092307e-19,2.641549826198785e-18,True,True
506,7.861908066253661e-07,2.199068358881671e-06,True,True
508,4.9357681545880566e-06,1.2380629427981512e-05,True,True
510,0.0010939383255261176,0.0019544714627638517,True,True
511,1.7364520907611595e-08,6.036724176701981e-08,True,True
512,1.2212874851866585e-05,2.8940660228531583e-05,True,True
516,1.1489733952392177e-07,3.584705689499275e-07,True,True
518,4.1601488059254767e-13,2.5925891277908588e-12,True,True
519,1.1583312979688305e-08,4.119014650558161e-08,True,True
520,0.00012348133282056017,0.0002535408692581754,True,True
521,4.347692946289845e-09,1.6391618430195784e-08,True,True
522,0.005008641439585527,0.008063772681159365,True,True
523,2.1851032104090497e-12,1.2295654058572096e-11,True,True
524,3.8057461533564166e-05,8.388958121632269e-05,True,True
526,1.5193323656580968e-13,1.002538831808389e-12,True,True
527,6.150783037105469e-11,2.908699068327319e-10,True,True
530,0.03507747857928463,0.0493415391627019,True,True
532,0.0004752275280631334,0.0008941896903703986,True,True
533,0.0008066536773939256,0.001468691218062823,True,True
534,4.396229860614615e-36,1.489115114551323e-33,True,True
537,0.0007218788633709377,0.0013231254498390398,True,True
539,1.9207026167633362e-20,3.166043674101778e-19,True,True
540,0.0024345595682317084,0.004121216711533832,True,True
541,0.001286342538487818,0.002273073583508291,True,True
542,2.658913241021916e-11,1.3127386750115347e-10,True,True
543,0.000570064858817688,0.0010611929349219353,True,True
544,0.011299133790798185,0.017240110955311663,True,True
546,3.953234270377524e-15,3.171951789167289e-14,True,True
547,0.0022856109111330097,0.003889658998110801,True,True
548,3.8479488426983757e-07,1.1215339338217386e-06,True,True
